reference,Platform A:CPU,Platform A:GPU,Platform B:CPU,Platform B:GPU,Platform C:CPU,Platform C:GPU
Platform A:CPU,,0.5173501577287066,0.943217665615142,0.5141955835962145,0.8454258675078864,0.5141955835962145
Platform A:GPU,0.5173501577287066,,0.5236593059936908,0.9936908517350158,0.5141955835962145,0.9936908517350158
Platform B:CPU,0.943217665615142,0.5236593059936908,,0.5205047318611987,0.8485804416403786,0.5205047318611987
Platform B:GPU,0.5141955835962145,0.9936908517350158,0.5205047318611987,,0.5110410094637224,1.0
Platform C:CPU,0.8454258675078864,0.5141955835962145,0.8485804416403786,0.5110410094637224,,0.5110410094637224
Platform C:GPU,0.5141955835962145,0.9936908517350158,0.5205047318611987,1.0,0.5110410094637224,
