reference,Platform A:CPU,Platform A:GPU,Platform B:CPU,Platform B:GPU,Platform C:CPU,Platform C:GPU
Platform A:CPU,,0.48264984227129337,0.056782334384858045,0.48580441640378547,0.15457413249211358,0.48580441640378547
Platform A:GPU,0.48264984227129337,,0.47634069400630913,0.006309148264984227,0.48580441640378547,0.006309148264984227
Platform B:CPU,0.056782334384858045,0.47634069400630913,,0.4794952681388013,0.15141955835962145,0.4794952681388013
Platform B:GPU,0.48580441640378547,0.006309148264984227,0.4794952681388013,,0.4889589905362776,0.0
Platform C:CPU,0.15457413249211358,0.48580441640378547,0.15141955835962145,0.4889589905362776,,0.4889589905362776
Platform C:GPU,0.48580441640378547,0.006309148264984227,0.4794952681388013,0.0,0.4889589905362776,
