reference,Platform A:CPU,Platform A:GPU,Platform B:CPU,Platform B:GPU,Platform C:CPU,Platform C:GPU
Platform A:CPU,,0.11554637756476213,8.152715067877815e-07,0.11625904416972004,0.017944513615481567,0.11625904416972004
Platform A:GPU,0.11554637756476213,,0.11554642727643938,0.0007126666049579047,0.11910643956118906,0.0007126666049579047
Platform B:CPU,8.152715067877815e-07,0.11554642727643938,,0.11625909388139728,0.017944324711108045,0.11625909388139728
Platform B:GPU,0.11625904416972004,0.0007126666049579047,0.11625909388139728,,0.11981910616614697,0.0
Platform C:CPU,0.017944513615481567,0.11910643956118906,0.017944324711108045,0.11981910616614697,,0.11981910616614697
Platform C:GPU,0.11625904416972004,0.0007126666049579047,0.11625909388139728,0.0,0.11981910616614697,
