platform,divergent_tensor_step_count_mean,divergent_tensor_step_count_median,divergent_tensor_step_count_max,divergent_tensor_step_count_min,divergent_tensor_step_rate_mean,divergent_tensor_step_rate_median,divergent_tensor_step_rate_max,divergent_tensor_step_rate_min,exact_equal_tensor_step_count_mean,exact_equal_tensor_step_count_median,exact_equal_tensor_step_count_max,exact_equal_tensor_step_count_min,exact_equal_tensor_step_rate_mean,exact_equal_tensor_step_rate_median,exact_equal_tensor_step_rate_max,exact_equal_tensor_step_rate_min,total_elements_compared_mean,total_elements_compared_median,total_elements_compared_max,total_elements_compared_min,total_unequal_elements_mean,total_unequal_elements_median,total_unequal_elements_max,total_unequal_elements_min,unequal_element_rate_mean,unequal_element_rate_median,unequal_element_rate_max,unequal_element_rate_min
Platform A:CPU,105.6,153.0,154,18,0.33312302839116714,0.48264984227129337,0.48580441640378547,0.056782334384858045,211.4,164.0,299,163,0.6668769716088329,0.5173501577287066,0.943217665615142,0.5141955835962145,201159980.0,201159980.0,201159980,201159980,14725304.6,23243307.0,23386667,164,0.07320195895823811,0.11554637756476213,0.11625904416972004,8.152715067877815e-07
Platform A:GPU,92.4,151.0,154,2,0.2914826498422713,0.47634069400630913,0.48580441640378547,0.006309148264984227,224.6,166.0,315,163,0.7085173501577288,0.5236593059936908,0.9936908517350158,0.5141955835962145,201159980.0,201159980.0,201159980,201159980,14146558.6,23243307.0,23959449,143360,0.07032491552246127,0.11554637756476213,0.11910643956118906,0.0007126666049579047
Platform B:CPU,104.2,151.0,152,18,0.32870662460567823,0.47634069400630913,0.4794952681388013,0.056782334384858045,212.8,166.0,299,165,0.6712933753943218,0.5236593059936908,0.943217665615142,0.5205047318611987,201159980.0,201159980.0,201159980,201159980,14725303.0,23243317.0,23386677,164,0.07320195100436976,0.11554642727643938,0.11625909388139728,8.152715067877815e-07
Platform B:GPU,92.6,152.0,155,0,0.2921135646687697,0.4794952681388013,0.4889589905362776,0.0,224.4,165.0,317,162,0.7078864353312303,0.5205047318611987,1.0,0.5110410094637224,201159980.0,201159980.0,201159980,201159980,14203902.6,23386667.0,24102809,0,0.07060998216444445,0.11625904416972004,0.11981910616614697,0.0
Platform C:CPU,112.2,154.0,155,48,0.35394321766561515,0.48580441640378547,0.4889589905362776,0.15141955835962145,204.8,163.0,269,162,0.6460567823343849,0.5141955835962145,0.8485804416403786,0.5110410094637224,201159980.0,201159980.0,201159980,201159980,15876893.0,23959449.0,24102809,3609680,0.07892669804401452,0.11910643956118906,0.11981910616614697,0.017944324711108045
Platform C:GPU,92.6,152.0,155,0,0.2921135646687697,0.4794952681388013,0.4889589905362776,0.0,224.4,165.0,317,162,0.7078864353312303,0.5205047318611987,1.0,0.5110410094637224,201159980.0,201159980.0,201159980,201159980,14203902.6,23386667.0,24102809,0,0.07060998216444445,0.11625904416972004,0.11981910616614697,0.0
