operation,family,group,precision_variant,patch_size,num_platform_pairs,observations,exact_equal_count,allclose_count,divergent_count,same_shape_count,mean_fraction_unequal,median_fraction_unequal,max_fraction_unequal,mean_max_abs_diff,max_max_abs_diff,mean_max_rel_diff,max_max_rel_diff,mean_num_unequal,max_num_unequal,total_num_unequal,total_num_elements,exact_equal_rate,allclose_rate,divergent_rate,same_shape_rate,global_unequal_element_rate
patch_softmax_mul_cd_9,patch_softmax,patch_based,fp32,9.0,30,30,8,8,22,30,0.34013754013754016,0.4399314399314399,0.5759285759285759,1.708666483561198e-07,2.980232238769531e-07,3.091246717346277e-07,4.723300774833876e-07,340137.2,575928,10204116,29999970,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.34013754013754016
patch_softmax_mul_ab_9,patch_softmax,patch_based,fp32,9.0,30,30,8,8,22,30,0.33992973992973996,0.4402054402054402,0.5748795748795749,1.708666483561198e-07,2.980232238769531e-07,3.288494467596618e-07,4.636842495734105e-07,339929.4,574879,10197882,29999970,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.3399297399297399
patch_softmax_b_25,patch_softmax,patch_based,fp32,25.0,30,30,8,8,22,30,0.32054920000000003,0.481532,0.509638,7.549921671549479e-08,1.1920928955078125e-07,3.1269072789558e-07,4.522769259958488e-07,320549.2,509638,9616476,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.3205492
patch_softmax_d_25,patch_softmax,patch_based,fp32,25.0,30,30,8,8,22,30,0.3200400666666666,0.480479,0.509883,8.145968119303386e-08,1.1920928955078125e-07,3.285014315027538e-07,4.6954870969188446e-07,320040.06666666665,509883,9601202,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.3200400666666667
patch_softmax_c_25,patch_softmax,patch_based,fp32,25.0,30,30,8,8,22,30,0.3195861333333333,0.481148,0.50879,8.742014567057291e-08,1.1920928955078125e-07,2.9655586070759917e-07,4.5991189467833647e-07,319586.13333333336,508790,9587584,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.31958613333333336
patch_softmax_a_25,patch_softmax,patch_based,fp32,25.0,30,30,8,8,22,30,0.3185445333333333,0.480406,0.50745,8.145968119303386e-08,1.1920928955078125e-07,3.2343673265444036e-07,4.599947192606229e-07,318544.5333333333,507450,9556336,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.3185445333333333
patch_softmax_mul_cd_25,patch_softmax,patch_based,fp32,25.0,30,30,8,8,22,30,0.31694713333333335,0.471987,0.505846,1.629193623860677e-07,2.384185791015625e-07,3.0356744919509416e-07,4.355433324674732e-07,316947.13333333336,505846,9508414,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.31694713333333335
patch_softmax_mul_ab_25,patch_softmax,patch_based,fp32,25.0,30,30,8,8,22,30,0.31691413333333335,0.473126,0.505918,1.5099843343098958e-07,2.384185791015625e-07,3.187025199801411e-07,4.7497561297087155e-07,316914.13333333336,505918,9507424,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.31691413333333335
tan_a,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,8,8,22,30,0.287244,0.477453,0.478442,1.5894571940104166e-07,2.384185791015625e-07,1.4959809776505347e-07,2.2284398169158415e-07,287244.0,478442,8617320,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.287244
tan_b,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,8,8,22,30,0.2870510666666667,0.477087,0.47819,1.5894571940104166e-07,2.384185791015625e-07,1.4937534967943516e-07,2.2250089222857784e-07,287051.06666666665,478190,8611532,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.2870510666666667
