reference,Platform A:CPU,Platform A:GPU,Platform B:CPU,Platform B:GPU,Platform C:CPU,Platform C:GPU
Platform A:CPU,,23243307.0,164.0,23386667.0,3609718.0,23386667.0
Platform A:GPU,23243307.0,,23243317.0,143360.0,23959449.0,143360.0
Platform B:CPU,164.0,23243317.0,,23386677.0,3609680.0,23386677.0
Platform B:GPU,23386667.0,143360.0,23386677.0,,24102809.0,0.0
Platform C:CPU,3609718.0,23959449.0,3609680.0,24102809.0,,24102809.0
Platform C:GPU,23386667.0,143360.0,23386677.0,0.0,24102809.0,
