reference,Platform A:CPU,Platform A:GPU,Platform B:CPU,Platform B:GPU,Platform C:CPU,Platform C:GPU
Platform A:CPU,,153.0,18.0,154.0,49.0,154.0
Platform A:GPU,153.0,,151.0,2.0,154.0,2.0
Platform B:CPU,18.0,151.0,,152.0,48.0,152.0
Platform B:GPU,154.0,2.0,152.0,,155.0,0.0
Platform C:CPU,49.0,154.0,48.0,155.0,,155.0
Platform C:GPU,154.0,2.0,152.0,0.0,155.0,
